created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 04 12:01:29 +0000 2023;1,73164E+18;Menurut laporan BPS, Sumatra Utara menjadi provinsi dengan jalan kabupaten/kota rusak berat terparah nasional pada 2022. Tercatat, kerusakan jalan di provinsi tersebut mencapai 10.362 km.  https://t.co/WOhMd6seh1  #JalanRusak #SumatraUtara #Infrastuktur #BPS #Databoks https://t.co/3mBUEVwhZK;0;0;0;0;in;1,31633E+18;1,73164E+18;databoksid;https://twitter.com/databoksid/status/1731644893351563630
Fri Dec 01 08:00:00 +0000 2023;1,7305E+18;Diguyur hujan deras, jalan di Lebak, Banten, longsor. Jalan sepanjang 6 Km rusak parah. PAA  #Longsor #Lebak #JalanRusak #LintasiNewsPagi #MNCTVNews https://t.co/H0A5oBdIAc;0;0;0;0;in;61377303;1,7305E+18;Lintas_MNCTV;https://twitter.com/Lintas_MNCTV/status/1730496957238464531
Fri Dec 01 06:14:11 +0000 2023;1,73047E+18;Bapak/ibu, terdpt jalan yang rusak di daerah Grand Depok City dekat Ex Waterpark Aladin, dimohon tindak lanjutnya sblm memakan korban🙏 @pemkotdepok  @idrisAshomad @imambhartono @depoknews @depokterkini @Humas_depok @DinasPUPR #jalanrusak #depok #granddepokcity https://t.co/2TKO2cQZiy;0;1;1;0;in;1,57483E+18;1,73047E+18;Eddy30749724;https://twitter.com/Eddy30749724/status/1730470327363437034
Fri Dec 01 05:42:40 +0000 2023;1,73046E+18;Catatan infrastruktur jalan di Indonesia, berdasarkan data BPS total secara keseluruhan ada sekitar 32.800 kilometer jalan rusak di Indonesia saat ini. #Datanesia #Datanesiaid #PerbaikanInfrastruktur #JalanRusak #Pembangunan #PUPR @KemenPU https://t.co/5KnRXo4gdl;0;1;30;30;in;53878998;1,73046E+18;datanesia_id;https://twitter.com/datanesia_id/status/1730462396547031418
Tue Nov 28 03:50:18 +0000 2023;1,72935E+18;Jenazah pria bernama Arju (45) di Polewali Mandar terpaksa ditandu warga sejauh 10 kilometer karena akses jalan rusak parah. Warga bahkan melewati dua sungai berarus deras.  Selengkapnya https://t.co/BFP6YsrNFW  #SeputariNewsRCTI #jalanrusak #polewalimandar #jenazahwarga https://t.co/k63AXdRzn9;0;0;0;1;in;375995332;1,72935E+18;SeputariNews;https://twitter.com/SeputariNews/status/1729346957330829666
Sat Nov 25 09:18:50 +0000 2023;1,72834E+18;https://t.co/bfImj6hGRh, MAMASA - Jalan poros Desa Balla Barat, Kecamatan Balla, Kabupaten Mamasa, ambruk.  https://t.co/4doQStH6ow  #mamasa #jalan #jalanrusak #tribunsulbar https://t.co/7XbWHJVpcZ;0;0;0;0;in;1,67641E+18;1,72834E+18;tribunsulbarcom;https://twitter.com/tribunsulbarcom/status/1728342468276715597
Sat Nov 25 09:15:09 +0000 2023;1,72834E+18;https://t.co/bfImj6hGRh,MAMUJU - Jalan Andi Depu, Kelurahan Rimuku, Kecamatan Mamuju, Kabupaten Mamuju, Sulawesi Barat (Sulbar) rusak dikeluhkan warga.  https://t.co/alVsZU0vVo  #mamuju #jalan #jalanrusak #tribunsulbar https://t.co/HH1N4mRYZx;0;0;0;0;in;1,67641E+18;1,72834E+18;tribunsulbarcom;https://twitter.com/tribunsulbarcom/status/1728341543675945434
Fri Nov 24 04:00:00 +0000 2023;1,7279E+18;Lokasi sekitaran PDAM Sunggal. Kondisi makin diperparah sebab sisi jalan ada pengerjaan penggalian drainase.  #reels #jalanrusak #jokowi #medan #dinas #viral #kuviralkankau #pemkomedan #sumut #sumatera #sumaterautara #fyp #ceritameda #ceritasumut #bisakali #adaadaaja #drainase https://t.co/rSgAM42QiG;0;1;0;3;in;1,68729E+18;1,7279E+18;medanupdateid;https://twitter.com/medanupdateid/status/1727899845695054113
Thu Nov 23 11:07:48 +0000 2023;1,72765E+18;Selama Perbaikan, Jalan Depan Taman Sari Arah Sei Harapan Ditutup Sementara  #jalanrusak #tiban #seiharapan  https://t.co/c0YMVp5Zdi;0;0;0;0;in;224204467;1,72765E+18;batamtoday;https://twitter.com/batamtoday/status/1727645118243725635
Tue Nov 21 06:07:47 +0000 2023;1,72684E+18;https://t.co/bfImj6hGRh, MAMUJU- Jalan rusak yang setiap harinya dilalui para siswa PAUD/TK/SD Islam Terpadu Wildan di jalan Musa karim, Mamuju, Sulbar.  LAPORAN WARTAWAN : Muhammad Jufriadi  #jalanrusak #jalan #mamuju #tribunsulbar https://t.co/LTdCZwOcqc;0;0;0;0;in;1,67641E+18;1,72684E+18;tribunsulbarcom;https://twitter.com/tribunsulbarcom/status/1726844839260729349
Mon Nov 20 01:27:06 +0000 2023;1,72641E+18;Aksi Protes,  Warga Tembesi Tanam Pohon Pisang di Jalan Rusak  #viral #wargatanam #pohonpisang #jalanrusak #tembesi #batam  https://t.co/jR5IhpDssj;0;0;0;0;in;60490875;1,72641E+18;BatamPos;https://twitter.com/BatamPos/status/1726411815297720819
Thu Nov 16 02:06:20 +0000 2023;1,72497E+18;Tapi warga yg lain juga samaaa sama cari nafkah dan butuh keselamatan juga dijalan.. Istighfar banyak2.  #parungpanjang #parungpanjangviral #bogorbarat #jalanrusak #truktambangparungpanjang #viral #Trendingtopic;0;1;1;1;in;8,0317E+17;1,72497E+18;ltfarsy;https://twitter.com/ltfarsy/status/1724972138514559300
